signal_id,signal_type,signal_status,leading_pedestrian_interval,council_district,location
1073,TRAFFIC,TURNED_ON,False,4,"{'type': 'Point', 'coordinates': [-97.70843, 30.326227]}"
192,TRAFFIC,TURNED_ON,False,5,"{'type': 'Point', 'coordinates': [-97.797707, 30.215431]}"
4088,PHB,TURNED_ON,False,3,"{'type': 'Point', 'coordinates': [-97.75798, 30.241348]}"
925,TRAFFIC,TURNED_ON,False,2,"{'type': 'Point', 'coordinates': [-97.745911, 30.158424]}"
1075,TRAFFIC,TURNED_ON,False,7,"{'type': 'Point', 'coordinates': [-97.663378, 30.414342]}"
1080,TRAFFIC,TURNED_ON,False,,"{'type': 'Point', 'coordinates': [-97.67735, 30.45809]}"
1123,TRAFFIC,TURNED_ON,False,2,"{'type': 'Point', 'coordinates': [-97.728584, 30.158859]}"
719,TRAFFIC,TURNED_ON,False,1,"{'type': 'Point', 'coordinates': [-97.659042, 30.390825]}"
594,TRAFFIC,TURNED_ON,False,4,"{'type': 'Point', 'coordinates': [-97.704529, 30.332954]}"
443,TRAFFIC,TURNED_ON,False,7,"{'type': 'Point', 'coordinates': [-97.751534, 30.334564]}"
244,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.746269, 30.275465]}"
470,TRAFFIC,TURNED_ON,False,4,"{'type': 'Point', 'coordinates': [-97.714409, 30.337824]}"
790,TRAFFIC,TURNED_ON,False,8,"{'type': 'Point', 'coordinates': [-97.82412, 30.234686]}"
295,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.740036, 30.268295]}"
552,TRAFFIC,TURNED_ON,False,3,"{'type': 'Point', 'coordinates': [-97.69529, 30.237551]}"
104,TRAFFIC,TURNED_ON,False,"10, 9","{'type': 'Point', 'coordinates': [-97.751167, 30.277359]}"
4107,PHB,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.722682, 30.298572]}"
4096,PHB,TURNED_ON,False,"10, 7","{'type': 'Point', 'coordinates': [-97.750942, 30.319725]}"
1036,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.752357, 30.265623]}"
1025,TRAFFIC,TURNED_ON,True,4,"{'type': 'Point', 'coordinates': [-97.709161, 30.350815]}"
1174,TRAFFIC,TURNED_ON,False,4,"{'type': 'Point', 'coordinates': [-97.689458, 30.319143]}"
608,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.802078, 30.471979]}"
